message;severity;node;stamp;topics;location
"No input frequency, using default publisher frequency";"4";"/talker";"1572737264.663037560";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!34";"2";"/talker";"1572737264.563111401";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737264.563048389";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!33";"2";"/talker";"1572737264.463098886";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737264.463039036";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!32";"2";"/talker";"1572737264.363074051";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737264.363032801";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!31";"2";"/talker";"1572737264.263112491";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737264.263047814";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!30";"2";"/talker";"1572737264.163098423";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737264.163035304";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!29";"2";"/talker";"1572737264.063191881";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737264.063100197";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!28";"2";"/talker";"1572737263.963187221";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737263.963095776";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!27";"2";"/talker";"1572737263.863106324";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737263.863043888";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!26";"2";"/talker";"1572737263.763045636";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737263.762985126";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!25";"2";"/talker";"1572737263.663092495";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737263.663031864";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!24";"2";"/talker";"1572737263.563062104";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737263.562990302";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!23";"2";"/talker";"1572737263.463095669";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737263.463034329";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!22";"2";"/talker";"1572737263.363103708";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737263.363052338";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!21";"2";"/talker";"1572737263.263090955";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737263.263046411";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!20";"2";"/talker";"1572737263.163091145";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737263.163040974";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!19";"2";"/talker";"1572737263.063086874";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737263.063052917";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!18";"2";"/talker";"1572737262.963085324";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737262.963051717";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!17";"2";"/talker";"1572737262.863090426";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737262.863057295";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!16";"2";"/talker";"1572737262.763093768";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737262.763059363";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!15";"2";"/talker";"1572737262.663084456";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737262.663051811";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!14";"2";"/talker";"1572737262.563095493";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737262.563059621";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!13";"2";"/talker";"1572737262.463087226";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
